organization,primary_sector,scope1_2,industry_mean_scope1_2,deviation
BRENT BALTIN,"Trading, wholesale, distribution, rental & leasing",0.0,588969.6082795699,-588969.6082795699
AMERICAN TIRE DISTRIBUTORS INC,"Trading, wholesale, distribution, rental & leasing",0.0,588969.6082795699,-588969.6082795699
Guangdong Textiles,"Trading, wholesale, distribution, rental & leasing",0.0,588969.6082795699,-588969.6082795699
Shason Inc.,"Trading, wholesale, distribution, rental & leasing",0.0,588969.6082795699,-588969.6082795699
INDULGENT FOODS,"Trading, wholesale, distribution, rental & leasing",0.0,588969.6082795699,-588969.6082795699
TECHNOLOGY INTEGRATION GROUP,"Trading, wholesale, distribution, rental & leasing",0.0,588969.6082795699,-588969.6082795699
ROAD SHOW LOGISTICS LLC,"Trading, wholesale, distribution, rental & leasing",0.0,588969.6082795699,-588969.6082795699
"Bradshaw International, Inc.","Trading, wholesale, distribution, rental & leasing",0.0,588969.6082795699,-588969.6082795699
Xanterra Parks & Resorts,Entertainment facilities,133880.0,725407.8333333334,-591527.8333333334
Dakkota,Transportation equipment,27074.0,645252.6023913043,-618178.6023913043
BCE Inc.,"Media, telecommunications & data center services",333293.0,964808.89125,-631515.89125
Telus Corporation,"Media, telecommunications & data center services",329224.0,964808.89125,-635584.89125
Neapco Europe,Transportation equipment,6600.0,645252.6023913043,-638652.6023913043
Mando corporation USA,Transportation equipment,4818.639999999999,645252.6023913043,-640433.9623913043
BATESVILLE TOOL & DIE INC,Transportation equipment,4599.26,645252.6023913043,-640653.3423913043
"ROCKFORD PROCESS CONTROL, INC.",Transportation equipment,2881.8250000000003,645252.6023913043,-642370.7773913044
"MARION INDUSTRIES, INC.",Transportation equipment,2117.11,645252.6023913043,-643135.4923913043
BELLETECH CORP,Transportation equipment,1572.52,645252.6023913043,-643680.0823913043
Detroit Manufacturing Systems,Transportation equipment,0.0,645252.6023913043,-645252.6023913043
INDIANA AUTOMOTIVE FASTENERS INC.,Transportation equipment,0.0,645252.6023913043,-645252.6023913043
SHAPE CORP,Transportation equipment,0.0,645252.6023913043,-645252.6023913043
MILSCO MANUFACTURING,Transportation equipment,0.0,645252.6023913043,-645252.6023913043
Piston Automotive,Transportation equipment,0.0,645252.6023913043,-645252.6023913043
APPLIED ACOUSTICS INTERNATIONAL,Transportation equipment,0.0,645252.6023913043,-645252.6023913043
McDonald's Corporation,"Bars, hotels & restaurants",679502.0,1333837.9679999999,-654335.9679999999
HudBay Minerals Inc.,Metallic mineral mining,573290.0,1236396.51,-663106.51
Hess Corporation,Oil & gas extraction & production,3919979.0,4601067.299431819,-681088.2994318185
Brown-Forman Corporation,Food & beverage processing,179652.0,882845.2198484848,-703193.2198484848
Kruger Products Inc,Wood & paper materials,337605.0,1054255.46,-716650.46
Maple Leaf Foods Inc.,Food & beverage processing,151485.0,882845.2198484848,-731360.2198484848
CBS Corp.,"Media, telecommunications & data center services",220546.59,964808.89125,-744262.30125
Del Monte Foods,Food & beverage processing,126680.0,882845.2198484848,-756165.2198484848
"McCormick & Company, Incorporated",Food & beverage processing,117230.0,882845.2198484848,-765615.2198484848
California Resources Corp,Oil & gas extraction & production,3830951.0,4601067.299431819,-770116.2994318185
Centerra Gold Inc.,Metallic mineral mining,463424.81,1236396.51,-772971.7
"The Hain Celestial Group, Inc.",Food & beverage processing,102999.0,882845.2198484848,-779846.2198484848
Rogers Communications Inc.,"Media, telecommunications & data center services",167579.0,964808.89125,-797229.89125
"Tree Top, Inc.",Food & beverage processing,76391.0,882845.2198484848,-806454.2198484848
Grain Craft,Food & beverage processing,70261.81,882845.2198484848,-812583.4098484849
Agnico-Eagle Mines Limited,Metallic mineral mining,411346.0,1236396.51,-825050.51
Perfection Bakeries Inc.,Food & beverage processing,45764.0,882845.2198484848,-837081.2198484848
Yamana Gold Inc.,Metallic mineral mining,397450.37,1236396.51,-838946.14
Farmer Brothers,Food & beverage processing,40241.0,882845.2198484848,-842604.2198484848
Roskam Baking Company/Rothbury Farms,Food & beverage processing,27653.0,882845.2198484848,-855192.2198484848
Star of the West,Food & beverage processing,27232.14,882845.2198484848,-855613.0798484848
BARDSTOWN BOURBON COMPANY,Food & beverage processing,15149.0,882845.2198484848,-867696.2198484848
Tosoh Quartz,Other materials,3402.0,875466.0416666666,-872064.0416666666
Moody Dunbar Inc,Food & beverage processing,9747.5,882845.2198484848,-873097.7198484848
Sensory Effects,Food & beverage processing,7958.6,882845.2198484848,-874886.6198484849
CITY BREWING COMPANY LLC,Food & beverage processing,7515.0,882845.2198484848,-875330.2198484848
NATIONAL PACKAGING SERVICE,Other materials,0.0,875466.0416666666,-875466.0416666666
KRAYDEN,Other materials,0.0,875466.0416666666,-875466.0416666666
"U. S. ELECTROFUSED MINERALS, INC.",Other materials,0.0,875466.0416666666,-875466.0416666666
The Andersons Canada Limited,Food & beverage processing,5933.0,882845.2198484848,-876912.2198484848
Yakima Chief Inc.,Food & beverage processing,4449.0,882845.2198484848,-878396.2198484848
"Harbinger Group, LLC dba Misionero",Food & beverage processing,3972.0,882845.2198484848,-878873.2198484848
Harris Tea Company,Food & beverage processing,2773.0,882845.2198484848,-880072.2198484848
Healthy Food Ingredients,Food & beverage processing,1605.4,882845.2198484848,-881239.8198484848
Golding Farms Foods,Food & beverage processing,1288.0,882845.2198484848,-881557.2198484848
"Mario Camacho Foods, Llc",Food & beverage processing,927.5,882845.2198484848,-881917.7198484848
NATURAL ADVANTAGE,Food & beverage processing,533.75,882845.2198484848,-882311.4698484848
Labbeemint,Food & beverage processing,530.3,882845.2198484848,-882314.9198484848
Cumberland Packing Corp,Food & beverage processing,431.0,882845.2198484848,-882414.2198484848
Crown Prince,Food & beverage processing,45.92,882845.2198484848,-882799.2998484848
Lion Raisins Inc,Food & beverage processing,0.0,882845.2198484848,-882845.2198484848
WINDMILL RICE CO LLC,Food & beverage processing,0.0,882845.2198484848,-882845.2198484848
Golden Crust Bakeries Inc.,Food & beverage processing,0.0,882845.2198484848,-882845.2198484848
BEE NATURAL HONEY LLC,Food & beverage processing,0.0,882845.2198484848,-882845.2198484848
AVA PORK PRODUCTS INC,Food & beverage processing,0.0,882845.2198484848,-882845.2198484848
OREGON POTATO CO,Food & beverage processing,0.0,882845.2198484848,-882845.2198484848
Knappen Milling,Food & beverage processing,0.0,882845.2198484848,-882845.2198484848
"American Sugar Refining, Inc.",Food & beverage processing,0.0,882845.2198484848,-882845.2198484848
"M&G EXPRESSO,INC",Food & beverage processing,0.0,882845.2198484848,-882845.2198484848
Grain Millers,Food & beverage processing,0.0,882845.2198484848,-882845.2198484848
ALBERT USTER IMPORTS INC,Food & beverage processing,0.0,882845.2198484848,-882845.2198484848
"Premio Foods, Inc.",Food & beverage processing,0.0,882845.2198484848,-882845.2198484848
"Norpac Foods, Inc.",Food & beverage processing,0.0,882845.2198484848,-882845.2198484848
"Interstate Meat Dist., Inc.",Food & beverage processing,0.0,882845.2198484848,-882845.2198484848
The Kraft Heinz Company,Food & beverage processing,0.0,882845.2198484848,-882845.2198484848
Coalescence,Food & beverage processing,0.0,882845.2198484848,-882845.2198484848
Snavely,Food & beverage processing,0.0,882845.2198484848,-882845.2198484848
King Milling,Food & beverage processing,0.0,882845.2198484848,-882845.2198484848
Celanese Corporation,Chemicals,2543229.0,3437119.735733333,-893890.735733333
Viacom Inc.,"Media, telecommunications & data center services",49637.84,964808.89125,-915171.05125
Avaya,"Media, telecommunications & data center services",48646.0,964808.89125,-916162.89125
Cogeco Inc.,"Media, telecommunications & data center services",44344.0,964808.89125,-920464.89125
Quebecor Inc.,"Media, telecommunications & data center services",13970.92,964808.89125,-950837.97125
WORLD WIDE TECHNOLOGY HOLDING COMPANY,"Media, telecommunications & data center services",10858.6,964808.89125,-953950.29125
"GROUP O, INC","Media, telecommunications & data center services",5245.5,964808.89125,-959563.39125
Syniverse,"Media, telecommunications & data center services",4143.98,964808.89125,-960664.91125
Stella-Jones Inc,Wood & paper materials,90517.26,1054255.46,-963738.2
SAVANT ACCESS INCORPORATED,"Media, telecommunications & data center services",0.0,964808.89125,-964808.89125
BMF MEDIA GROUP LLC,"Media, telecommunications & data center services",0.0,964808.89125,-964808.89125
"SKC Communication Products, LLC","Media, telecommunications & data center services",0.0,964808.89125,-964808.89125
MILLENNIUM TECHNICAL SERVICES,"Media, telecommunications & data center services",0.0,964808.89125,-964808.89125
CCOMM INTEGRATED TECHNOLOGY SERVICES INC,"Media, telecommunications & data center services",0.0,964808.89125,-964808.89125
Crescent Point Energy Corporation,Oil & gas extraction & production,3635496.4400000004,4601067.299431819,-965570.8594318181
Endeavour Mining Corp,Metallic mineral mining,268452.0,1236396.51,-967944.51
Detour Gold Corporation,Metallic mineral mining,263761.5,1236396.51,-972635.01
Wyndham Hotels & Resorts,"Bars, hotels & restaurants",293363.0,1333837.9679999999,-1040474.9679999999
Target Corporation,Convenience retail,2917548.0,3958659.0579999997,-1041111.0579999997
"COMMERCIAL LUMBER & PALLET CO., INC.",Wood & paper materials,0.0,1054255.46,-1054255.46
Eldorado Gold Corporation,Metallic mineral mining,142059.0,1236396.51,-1094337.51
"Yum! Brands, Inc.","Bars, hotels & restaurants",203485.72,1333837.9679999999,-1130352.248
"Wyndham Destinations, Inc.","Bars, hotels & restaurants",198949.0,1333837.9679999999,-1134888.9679999999
Franco-Nevada Corporation,Metallic mineral mining,46.5,1236396.51,-1236350.01
"Schnitzer Steel Industries, Inc.","Metal smelting, refining & forming",152804.0,1395845.625,-1243041.625
Dunkin' Brands Group,"Bars, hotels & restaurants",2886.0,1333837.9679999999,-1330951.9679999999
THE SERVICE COMPANIES DBA FULL SERVICE SYSTEMS,"Bars, hotels & restaurants",0.0,1333837.9679999999,-1333837.9679999999
Revere Copper,"Metal smelting, refining & forming",49798.0,1395845.625,-1346047.625
Avery Dennison Corporation,Paper products & packaging,832963.0,2227132.4977777777,-1394169.4977777777
EATON STEEL CORPORATION,"Metal smelting, refining & forming",0.0,1395845.625,-1395845.625
Steel Dynamics Inc.,"Metal smelting, refining & forming",0.0,1395845.625,-1395845.625
OHASHI TECHNICA USA INC,"Metal smelting, refining & forming",0.0,1395845.625,-1395845.625
CUSTOM STEEL PROCESSING,"Metal smelting, refining & forming",0.0,1395845.625,-1395845.625
Ormat Technologies Inc,Renewable power generation,33739.52,1470104.0833333333,-1436364.5633333332
AltaGas Ltd.,Energy utility networks,2361712.0,3806622.5,-1444910.5
Costco Wholesale Corporation,Convenience retail,2508419.41,3958659.0579999997,-1450239.6479999996
Huntsman Corporation,Chemicals,1800576.0,3437119.735733333,-1636543.735733333
Cascades Inc.,Paper products & packaging,562163.0,2227132.4977777777,-1664969.4977777777
Canadian Pacific Railway,Rail transport,3101936.0,4774019.688571429,-1672083.6885714289
Walgreens Boots Alliance,Convenience retail,2145000.0,3958659.0579999997,-1813659.0579999997
"The HAVI Group, LP",Intermodal transport & logistics,139865.0,2182484.606,-2042619.6060000001
Expeditors International of Washington,Intermodal transport & logistics,54704.9,2182484.606,-2127779.7060000002
C.H. Robinson,Intermodal transport & logistics,34225.0,2182484.606,-2148259.606
ModusLink Corporation,Intermodal transport & logistics,8194.0,2182484.606,-2174290.606
"DW Morgan, LLC",Intermodal transport & logistics,2527.3,2182484.606,-2179957.3060000003
Trans-Expedite Inc.,Intermodal transport & logistics,876.86,2182484.606,-2181607.7460000003
OIA GLOBAL,Intermodal transport & logistics,539.5,2182484.606,-2181945.106
EMO TRANS,Intermodal transport & logistics,294.54999999999995,2182484.606,-2182190.0560000003
WHEELS HOLDCO INC,Intermodal transport & logistics,214.73,2182484.606,-2182269.876
LINK AMERICA INC,Intermodal transport & logistics,62.25,2182484.606,-2182422.356
KC Transportation,Intermodal transport & logistics,0.0,2182484.606,-2182484.606
BANGARANG ENTERPRISES LLC,Intermodal transport & logistics,0.0,2182484.606,-2182484.606
PlanAhead,Paper products & packaging,10000.0,2227132.4977777777,-2217132.4977777777
Accurate Box,Paper products & packaging,7155.0,2227132.4977777777,-2219977.4977777777
Bay Corrugated,Paper products & packaging,5244.57,2227132.4977777777,-2221887.927777778
Horizon Group USA,Paper products & packaging,1286.5,2227132.4977777777,-2225845.9977777777
Oneok Inc.,Oil & gas storage & transportation,2650000.0,4876529.333333333,-2226529.333333333
"Central Business Forms, Inc",Paper products & packaging,69.0,2227132.4977777777,-2227063.4977777777
Curtis Packaging Corporation,Paper products & packaging,0.0,2227132.4977777777,-2227132.4977777777
J M HUBER,Chemicals,1155972.0,3437119.735733333,-2281147.735733333
Ashland Global Holdings Inc,Chemicals,1144000.0,3437119.735733333,-2293119.735733333
Southwest Airlines Co.,Air transport,20584682.0,22877975.575714286,-2293293.5757142864
Teck Resources Limited,Coal mining,2896471.04,5205697.52,-2309226.4799999995
MEG Energy Corp.,Oil & gas extraction & production,2140559.0,4601067.299431819,-2460508.2994318185
Tokai Carbon CB,Chemicals,956929.0,3437119.735733333,-2480190.735733333
"PPG Industries, Inc.",Chemicals,930000.0,3437119.735733333,-2507119.735733333
Versum,Chemicals,888049.0,3437119.735733333,-2549070.735733333
Sherwin-Williams Company,Chemicals,809197.0,3437119.735733333,-2627922.735733333
Covanta Energy Corporation,Non-energy utilities,4352209.0,7007470.6,-2655261.5999999996
Bemis Company,Chemicals,715635.0,3437119.735733333,-2721484.735733333
PPL Corporation,Thermal power generation,29821575.0,32559887.141231883,-2738312.1412318833
Colgate Palmolive Company,Chemicals,607058.0,3437119.735733333,-2830061.735733333
Tourmaline Oil Corp,Oil & gas extraction & production,1685501.5,4601067.299431819,-2915565.7994318185
Koppers Holdings Inc,Chemicals,463463.0,3437119.735733333,-2973656.735733333
Eversource Energy,Energy utility networks,812237.0,3806622.5,-2994385.5
FMC Corp,Chemicals,287099.0,3437119.735733333,-3150020.735733333
Empire Company Limited,Convenience retail,802920.0,3958659.0579999997,-3155739.0579999997
PolyOne,Chemicals,272700.54000000004,3437119.735733333,-3164419.195733333
Clorox Company,Chemicals,272049.0,3437119.735733333,-3165070.735733333
Loblaw Companies Limited,Convenience retail,768996.73,3958659.0579999997,-3189662.3279999997
International Flavors & Fragrances Inc.,Chemicals,241066.0,3437119.735733333,-3196053.735733333
Axalta Coating Systems,Chemicals,201136.5,3437119.735733333,-3235983.235733333
Baytex Energy Corp.,Oil & gas extraction & production,1342631.14,4601067.299431819,-3258436.159431819
"Church & Dwight Co., Inc",Chemicals,168231.0,3437119.735733333,-3268888.735733333
H.B. Fuller,Chemicals,162454.0,3437119.735733333,-3274665.735733333
KIK Custom Products,Chemicals,160694.0,3437119.735733333,-3276425.735733333
"Avon Products, Inc.",Chemicals,109357.0,3437119.735733333,-3327762.735733333
Kansas City Southern,Rail transport,1438940.0,4774019.688571429,-3335079.688571429
Estee Lauder Companies Inc.,Chemicals,93927.23000000001,3437119.735733333,-3343192.505733333
Innospec Inc.,Chemicals,85776.0,3437119.735733333,-3351343.735733333
LION ELASTOMERS,Chemicals,56700.6,3437119.735733333,-3380419.135733333
"Valvoline, LLC",Chemicals,32933.666666666664,3437119.735733333,-3404186.0690666665
FLOW POLYMERS,Chemicals,20271.77,3437119.735733333,-3416847.965733333
Kmg Electronic Materials,Chemicals,18588.0,3437119.735733333,-3418531.735733333
Tosoh SMD,Chemicals,10404.0,3437119.735733333,-3426715.735733333
Brewer Science,Chemicals,10004.79,3437119.735733333,-3427114.945733333
Moses Lake Industries,Chemicals,7336.0,3437119.735733333,-3429783.735733333
CABOT MICROELECTRONICS CORP,Chemicals,2385.0,3437119.735733333,-3434734.735733333
Fujimi Incorporated,Chemicals,2332.25,3437119.735733333,-3434787.485733333
CRC INDUSTRIES INC,Chemicals,2030.0,3437119.735733333,-3435089.735733333
Bright International Corp.,Chemicals,1002.0,3437119.735733333,-3436117.735733333
MAYS CHEMICAL CO INC,Chemicals,953.44,3437119.735733333,-3436166.295733333
PT Cahaya Bumi Cemerlang,Chemicals,181.0,3437119.735733333,-3436938.735733333
"RPM International, Inc.",Chemicals,0.0,3437119.735733333,-3437119.735733333
RSC Chemical Solutions,Chemicals,0.0,3437119.735733333,-3437119.735733333
"BRADFORD SOAP WORKS, INC.",Chemicals,0.0,3437119.735733333,-3437119.735733333
Wildcat Wholesale LLC,Chemicals,0.0,3437119.735733333,-3437119.735733333
Seven Generations Energy,Oil & gas extraction & production,1065438.6099999999,4601067.299431819,-3535628.6894318187
Hydro One Limited,Energy utility networks,218086.0,3806622.5,-3588536.5
Enerplus Corporation,Oil & gas extraction & production,1003528.0,4601067.299431819,-3597539.2994318185
Bonavista Energy Corporation,Oil & gas extraction & production,926603.0,4601067.299431819,-3674464.2994318185
Metro Inc.,Convenience retail,261651.0,3958659.0579999997,-3697008.0579999997
Vermilion Energy Inc.,Oil & gas extraction & production,903487.0,4601067.299431819,-3697580.2994318185
ARC Resources Ltd.,Oil & gas extraction & production,895594.53,4601067.299431819,-3705472.7694318183
Inter Pipeline Ltd.,Oil & gas storage & transportation,1119790.0,4876529.333333333,-3756739.333333333
Amtrak,Rail transport,972245.0,4774019.688571429,-3801774.688571429
George Weston Limited,Convenience retail,153311.95,3958659.0579999997,-3805347.1079999995
NORTHLINE UTILITIES,Energy utility networks,300.0,3806622.5,-3806322.5
DAVEY TREE EXPERT,Energy utility networks,67.0,3806622.5,-3806555.5
DDS UTILITIES,Energy utility networks,0.0,3806622.5,-3806622.5
"OSMOSE UTILITIES SERVICES, INC",Energy utility networks,0.0,3806622.5,-3806622.5
Atmos Energy Corp,Energy utility networks,0.0,3806622.5,-3806622.5
"Veteran Supply Services, LLC",Energy utility networks,0.0,3806622.5,-3806622.5
F & G CONSTRUCTION,Energy utility networks,0.0,3806622.5,-3806622.5
Gran Tierra Energy Inc.,Oil & gas extraction & production,594748.83,4601067.299431819,-4006318.4694318185
NuVista Energy,Oil & gas extraction & production,296931.0,4601067.299431819,-4304136.299431819
Surge Energy Inc,Oil & gas extraction & production,240019.7175,4601067.299431819,-4361047.581931818
Kosmos Energy Ltd.,Oil & gas extraction & production,111648.58,4601067.299431819,-4489418.719431818
Parex Resources Inc,Oil & gas extraction & production,103165.45,4601067.299431819,-4497901.849431818
Dominion Energy,Thermal power generation,27870574.0,32559887.141231883,-4689313.141231883
FEENEY BROTHERS EXCAVATION,Oil & gas storage & transportation,0.0,4876529.333333333,-4876529.333333333
ACCU WELD TECHNOLOGIES,Oil & gas storage & transportation,0.0,4876529.333333333,-4876529.333333333
TransAlta Corporation,Thermal power generation,27135199.333333332,32559887.141231883,-5424687.807898551
WEC Energy Group,Thermal power generation,27104000.0,32559887.141231883,-5455887.141231883
American Water Works,Non-energy utilities,608409.0,7007470.6,-6399061.6
"Essential Utilities, Inc",Non-energy utilities,57885.0,7007470.6,-6949585.6
Keyera Corp.,Oil & gas processing,2039487.0,9274180.35,-7234693.35
Calumet Specialty Products Partners LP,Oil & gas processing,33027.4,9274180.35,-9241152.95
Air Canada,Air transport,12885229.0,22877975.575714286,-9992746.575714286
Emera Inc.,Thermal power generation,21062193.0,32559887.141231883,-11497694.141231883
Jetblue Airways Corporation,Air transport,8397600.0,22877975.575714286,-14480375.575714286
Alaska Air Group,Air transport,7761999.0,22877975.575714286,-15115976.575714286
Alliant Energy Corporation,Thermal power generation,16203446.995,32559887.141231883,-16356440.146231884
Public Service Enterprise Group Inc.,Thermal power generation,14650360.0,32559887.141231883,-17909527.141231883
OGE Energy Corp.,Thermal power generation,14300968.0,32559887.141231883,-18258919.141231883
CMS Energy Corporation,Thermal power generation,13218663.0,32559887.141231883,-19341224.141231883
Pinnacle West Capital Corporation,Thermal power generation,12022443.0,32559887.141231883,-20537444.141231883
Capital Power Corporation,Thermal power generation,11075847.0,32559887.141231883,-21484040.141231883
Sempra Energy,Thermal power generation,6501565.0,32559887.141231883,-26058322.141231883
