organization,primary_sector,scope1,scope2,scope3,scope1_2,scope_weighted,total_emission
BCE Inc.,"Media, telecommunications & data center services",133899.0,199394.0,272201.5,333293.0,181208.0,605494.5
"Becton, Dickinson and Co.",Medical equipment & supplies,98252.0,400029.0,220184.55555555556,498281.0,213171.61111111112,718465.5555555555
"Best Buy Co., Inc.",Discretionary retail,237327.0,412712.0,5705364.5,650039.0,1383550.0,6355403.5
"Berry Global Group, Inc",Light manufacturing,231613.0,1266391.0,1041000.0,1498004.0,703923.8,2539004.0
BLACK & VEATCH LIMITED,Specialized professional services,4961.0,19523.0,22473.0,24484.0,12832.0,46957.0
Biogen Inc.,Biotech & pharma,63053.25,41663.0,54533.125,104716.25,54932.15,159249.375
BlackRock,Financial services,4806.97,22042.69,13243.765,26849.66,11665.045,40093.425
Bloomberg,Specialized professional services,12915.41,98234.85,9819.58875,111150.26000000001,37892.077750000004,120969.84875
Bonavista Energy Corporation,Oil & gas extraction & production,878512.0,48091.0,,926603.0,,926603.0
Boardwalk REIT,Financial services,,,,0.0,,0.0
Boeing Company,Transportation equipment,646000.0,892000.0,320000.0,1538000.0,654600.0,1858000.0
Booz Allen Hamilton,Specialized professional services,1.76,16981.03,49002.43,16982.789999999997,14895.675,65985.22
BorgWarner,Powered machinery,63307.0,289546.0,14407.443333333335,352853.0,121398.78866666667,367260.44333333336
BOTTOMLINE TECHNOLOGIES EUROPE LTD,IT & software development,,,,0.0,,0.0
Boston Scientific Corporation,Medical equipment & supplies,31257.0,74311.0,,105568.0,,105568.0
Bristol-Myers Squibb,Biotech & pharma,235000.0,137000.0,4285593.0,372000.0,1015718.6000000001,4657593.0
Broadridge Financial Solutions Inc,Specialized professional services,10287.0,45242.0,23261.0,55529.0,23368.3,78790.0
Brown-Forman Corporation,Food & beverage processing,106249.0,73403.0,6450.0,179652.0,76435.4,186102.0
Bryce Corporation,Light manufacturing,6634.0,8750.0,9100.0,15384.0,7762.0,24484.0
Bunge,"Trading, wholesale, distribution, rental & leasing",1694345.0,1574726.0,7549329.846153846,3269071.0,2829456.269230769,10818400.846153846
Butterball,Fish & animal farming,47497.0,109380.0,,156877.0,,156877.0
C.H. Robinson,Intermodal transport & logistics,2834.0,31391.0,,34225.0,,34225.0
Cabot Corporation,Chemicals,4771000.0,321000.0,25000.0,5092000.0,2486800.0,5117000.0
CAE Inc.,Electrical & electronic equipment,25213.0,62612.0,,87825.0,,87825.0
Campbell Soup Company,Food & beverage processing,417399.0,323402.75,552356987.7777778,740801.75,110777117.88055557,553097789.5277778
Canadian National Railway Company,Rail transport,5776183.0,188992.0,414776.3333333333,5965175.0,3027744.3666666667,6379951.333333333
Canadian Pacific Railway,Rail transport,3052104.0,49832.0,16009.2,3101936.0,1544203.4400000002,3117945.2
Canadian Natural Resources Limited,Oil & gas extraction & production,21946381.46,3069318.0,,25015699.46,,25015699.46
"Canadian Tire Corporation, Limited",Discretionary retail,53022.0,42939.0,551768.4285714285,95961.0,149746.38571428572,647729.4285714285
Canadian Imperial Bank of Commerce (CIBC),Financial services,21880.0,38044.0,10927.666666666666,59924.0,24538.73333333333,70851.66666666667
Capital One Financial,Financial services,10719.5,166874.0,53529.885714285716,177593.5,66127.92714285714,231123.38571428572
Cargill,Food & beverage processing,7421863.0,,44526.0,7421863.0,,7466389.0
Cardinal Health Inc.,"Trading, wholesale, distribution, rental & leasing",158333.33333333334,258666.66666666666,20400.0,417000.0,160846.6666666667,437400.0
Cartus,Other services,497.95,1975.95,,2473.9,,2473.9
Acosta Inc.,Commercial & consumer services,,,,0.0,,0.0
"CBRE Group, Inc.",Other services,46069.0,24439.0,19984.0,70508.0,34363.0,90492.0
Cascades Inc.,Paper products & packaging,546894.0,15269.0,443262.0,562163.0,366680.10000000003,1005425.0
CBS Corp.,"Media, telecommunications & data center services",22096.6,198449.99,20432.63,220546.59,74669.82299999999,240979.22
CCL Industries,Light manufacturing,40425.155,136779.615,77376.45,177204.77,76721.752,254581.21999999997
Celgene Corporation,Biotech & pharma,24016.63,35871.11,9683.477499999999,59887.740000000005,24706.343500000003,69571.2175
Celestica Inc.,Electrical & electronic equipment,8867.0,174505.0,49601.22222222222,183372.0,66705.24444444444,232973.22222222222
Centerra Gold Inc.,Metallic mineral mining,433037.75,30387.06,,463424.81,,463424.81
Charles Schwab Corporation,Financial services,2663.0,51146.0,,53809.0,,53809.0
"Church & Dwight Co., Inc",Chemicals,82317.0,85914.0,12058.5,168231.0,69344.4,180289.5
"Cisco Systems, Inc.",IT & software development,41171.0,666708.0,3952055.8,707879.0,1011009.06,4659934.8
Ciena Corp.,Electrical & electronic equipment,1977.5599999999997,17434.12,12268.518333333333,19411.68,8672.719666666666,31680.198333333334
Cigna,Financial services,10961.0,58992.0,21371.0,69953.0,27452.3,91324.0
Cincinnati Financial Corporation,Financial services,17336.8,15160.09,,32496.89,,32496.89
Citigroup Inc.,Financial services,22307.0,635345.0,1783905.4166666667,657652.0,558538.0833333334,2441557.416666667
Clorox Company,Chemicals,72962.0,199087.0,153875.0,272049.0,126982.1,425924.0
CMS Energy Corporation,Thermal power generation,13164704.0,53959.0,7972043.5,13218663.0,8192948.4,21190706.5
Tapestry Inc,Discretionary retail,1048.12,57255.45,61826.80666666667,58303.57,30066.056333333334,120130.37666666668
Colgate Palmolive Company,Chemicals,196333.0,410725.0,5120173.0,607058.0,1245418.6,5727231.0
The Coca-Cola Company,Food & beverage processing,707152.0,800918.0,7875376.857142857,1508070.0,2168926.7714285715,9383446.857142858
Cogeco Inc.,"Media, telecommunications & data center services",10392.0,33952.0,886.0,44344.0,15558.800000000001,45230.0
Comcast Corporation,"Media, telecommunications & data center services",505483.0,1489358.0,,1994841.0,,1994841.0
Comerica Incorporated,Financial services,6371.0,39916.0,4898.375,46287.0,16139.974999999999,51185.375
"CommScope, Inc.",Electrical & electronic equipment,87986.82,136335.15,,224321.97,,224321.97
"comScore, Inc.",IT & software development,,,,0.0,,0.0
Conagra Brands Inc,Food & beverage processing,337648.0,309575.0,605135.6363636364,647223.0,382723.62727272726,1252358.6363636362
ConocoPhillips,Oil & gas extraction & production,19175798.0,1086954.0,45044739.25,20262752.0,18922933.049999997,65307491.25
"Constellation Brands, Inc.",Food & beverage processing,316386.0,54053.0,264056.0,370439.0,227220.1,634495.0
Cooper Tire & Rubber,Light manufacturing,171339.5,443351.0,,614690.5,,614690.5
Ingredion Incorporated,Food & beverage processing,2998910.0,947199.0,886773.8,3946109.0,1960969.46,4832882.8
Costco Wholesale Corporation,Convenience retail,1114966.57,1393452.84,,2508419.41,,2508419.41
Covanta Energy Corporation,Non-energy utilities,4329143.0,23066.0,50573.0,4352209.0,2181605.9,4402782.0
Crescent Point Energy Corporation,Oil & gas extraction & production,2488849.22,1146647.22,137.81,3635496.4400000004,1588446.338,3635634.2500000005
Crown Holdings,Metal products manufacturing,576724.0,790581.0,2554535.8,1367305.0,1036443.46,3921840.8
Cypress Semiconductor Corporation,Electrical & electronic equipment,142274.0,178115.0,,320389.0,,320389.0
CSX Corporation,Rail transport,4854805.75,218625.5,602112.3333333334,5073431.25,2613412.9916666667,5675543.583333333
Cummins Inc.,Powered machinery,305970.0,566875.0,58271350.0,872845.0,11977317.5,59144195.0
CVS Health,Financial services,177347.26,1096751.85,1753069.0485714285,1274099.11,768312.9947142857,3027168.1585714286
Dana,Metal products manufacturing,124045.4,418084.07,1487392.6,542129.47,484926.441,2029522.07
DaVita Inc.,Health care provision,33495.52,246359.775,27352.25,279855.295,96126.14249999999,307207.545
Deere & Company,Powered machinery,385776.0,760339.0,374323.6,1146115.0,495854.4199999999,1520438.6
Delta Air Lines,Air transport,36994397.94,306727.09,1294499.5066666666,37301125.03,18848116.99833333,38595624.53666667
Del Monte Foods,Food & beverage processing,77190.0,49490.0,753.0,126680.0,53592.6,127433.0
Deloitte Touche Tohmatsu Limited,Specialized professional services,62456.0,187469.0,345815.0,249925.0,156631.7,595740.0
Dentsply Sirona Inc.,Medical equipment & supplies,,,,0.0,,0.0
Desjardins Group,Financial services,16541.0,4962.0,40151.9,21503.0,17789.480000000003,61654.9
Devon Energy Corporation,Oil & gas extraction & production,5647500.88,654124.0,,6301624.88,,6301624.88
Dover Corporation,Powered machinery,45985.0,,586854.8571428572,45985.0,,632839.8571428572
The Dow Chemical Company,Chemicals,26811670.0,7962756.0,6548991.0,34774426.0,17104460.0,41323417.0
"American Sugar Refining, Inc.",Food & beverage processing,,,,0.0,,0.0
Dominion Energy,Thermal power generation,27816676.0,53898.0,10329936.65,27870574.0,15990494.73,38200510.65
Domtar Corporation,Wood & paper materials,1943386.0,596813.0,314000.0,2540199.0,1213536.9,2854199.0
Keurig Dr Pepper,Food & beverage processing,273575.84,166483.0,584382.3636363636,440058.84,303609.2927272727,1024441.2036363636
DTE Energy Company,Thermal power generation,34246000.0,1938000.0,3477955.0,36184000.0,18399991.0,39661955.0
Duke Energy Corporation,Thermal power generation,96548800.0,23200.0,14038821.0,96572000.0,51089124.2,110610821.0
Ecolab Inc.,Commercial & consumer services,409173.0,254767.0,1754451.25,663940.0,631906.85,2418391.25
Eastman Chemical Company,Chemicals,5820940.0,1606800.0,2257462.5,7427740.0,3844002.5,9685202.5
Eaton Corporation,Electrical & electronic equipment,297169.0,906793.2233333334,6745514.944,1203962.2233333334,1769725.4558,7949477.167333334
Eaton Vance,Financial services,,,,0.0,,0.0
eBay Inc.,Discretionary retail,29552.0,154526.0,79142.85714285714,184078.0,76962.37142857142,263220.85714285716
Edelman,Specialized professional services,631.18,1856.39,5282.545,2487.57,1929.016,7770.115
Eldorado Gold Corporation,Metallic mineral mining,43875.0,98184.0,11006.913333333332,142059.0,53594.08266666666,153065.91333333333
Eli Lilly & Co.,Biotech & pharma,391735.0,983793.0,31542.333333333332,1375528.0,497313.86666666664,1407070.3333333333
Emera Inc.,Thermal power generation,21061783.0,410.0,4952111.0,21062193.0,11521436.7,26014304.0
Emerson Electric Co.,Electrical & electronic equipment,133622.0,538012.5,,671634.5,,671634.5
Empire Company Limited,Convenience retail,239473.0,563447.0,35345.0,802920.0,295839.6,838265.0
Enerplus Corporation,Oil & gas extraction & production,880197.0,123331.0,,1003528.0,,1003528.0
"EOG Resources, Inc.",Oil & gas extraction & production,5405641.45,,,5405641.45,,5405641.45
Estee Lauder Companies Inc.,Chemicals,34537.08,59390.15,261839.545,93927.23000000001,87453.494,355766.775
Exelon Corporation,Nuclear power generation,9526298.0,6120046.0,9980447.454545455,15646344.0,8595252.290909091,25626791.454545453
Expeditors International of Washington,Intermodal transport & logistics,7789.8,46915.1,5865.5,54704.9,19142.53,60570.4
Fifth Third Bancorp,Financial services,14046.0,91519.0,12904.0,105565.0,37059.5,118469.0
FedEx Corporation,Intermodal transport & logistics,15152383.0,1049987.0,940321.6666666666,16202370.0,8079251.933333333,17142691.666666668
Fidelity National Information Services,Specialized professional services,,,,0.0,,0.0
Finning International Inc.,Industrial support services,62511.0,42245.0,,104756.0,,104756.0
FirstEnergy Corporation,Thermal power generation,32874709.0,51054.0,6702556.8,32925763.0,17793182.06,39628319.8
First Capital Realty Inc.,Land & property ownership & development,9440.0,15380.0,160.0,24820.0,9366.0,24980.0
First Solar Inc,Renewable energy equipment,22200.0,427890.0,77946.92307692308,450090.0,155056.38461538462,528036.9230769231
"Fiserv, Inc.",Specialized professional services,5598.0,80486.0,38426.0,86084.0,34630.0,124510.0
Flex Ltd.,Electrical & electronic equipment,82432.0,822750.0,94787.66666666667,905182.0,306998.5333333333,999969.6666666666
Fluor Corporation,Construction,14372.0,50476.0,38225.0,64848.0,29973.8,103073.0
Ford Motor Company,Transportation equipment,1442963.0,3349808.0,17446346.9,4792771.0,5215693.279999999,22239117.9
"Franklin Resources, Inc.",Financial services,8592.6,27711.98,8773.275,36304.58,14364.549,45077.855
Franco-Nevada Corporation,Metallic mineral mining,46.5,,,46.5,,46.5
Gap Inc.,Discretionary retail,27819.0,371732.0,802306.3,399551.0,285890.36,1201857.3
General Dynamics Corporation,Transportation equipment,306160.5,,,306160.5,,306160.5
General Mills Inc.,Food & beverage processing,300309.0,561540.0,1186625.0,861849.0,555941.5,2048474.0
General Motors Company,Transportation equipment,1763555.0,4322761.0,18892528.42857143,6086316.0,5957111.485714286,24978844.42857143
General Electric Company,Powered machinery,1293842.16,1510716.0,1271039.085,2804558.16,1354343.697,4075597.245
"Genpact International, LLC",IT & software development,4586.666666666667,89907.33333333333,25024.7,94494.0,34270.47333333333,119518.7
"Genworth Financial, Inc.",Financial services,898.67,5049.88,766.7800000000001,5948.55,2117.655,6715.33
George Weston Limited,Convenience retail,74222.42,79089.53,5141.16,153311.95,61866.30100000001,158453.11000000002
Gildan Activewear Inc.,Apparel design,118729.0,212905.0,160.5,331634.0,123268.1,331794.5
"Gilead Sciences, Inc.",Biotech & pharma,47256.0,36588.0,23862.0,83844.0,39376.8,107706.0
Goldman Sachs Group Inc.,Financial services,11482.0,184809.0,226689.0,196291.0,106521.5,422980.0
"Alphabet, Inc.",Web & marketing services,63521.0,4344686.0,1427946.7,4408207.0,1620755.6400000001,5836153.7
Goodyear Tire & Rubber Company,Light manufacturing,1191789.0,1550510.0,18381183.111111112,2742299.0,4737284.122222222,21123482.111111112
Graphic Packaging International LLC,Paper products & packaging,1374530.0,731898.0,248247.33333333334,2106428.0,956483.8666666667,2354675.3333333335
Great-West Lifeco Inc.,Financial services,15893.0,31011.0,19740.5,46904.0,21197.9,66644.5
H&R Real Estate Investment Trust,Financial services,20127.0,41570.0,540.0,61697.0,22642.5,62237.0
H.B. Fuller,Chemicals,75366.0,87088.0,18770.666666666668,162454.0,67563.53333333333,181224.66666666666
Halliburton Company,Industrial support services,1037876.0,271233.0,73387.77,1309109.0,614985.454,1382496.77
Caesars Entertainment,Entertainment facilities,226932.0,723373.3333333334,442690.81,950305.3333333334,419016.162,1392996.1433333333
L3Harris Technologies INC,Electrical & electronic equipment,532.0,154996.0,21730.166666666668,155528.0,51110.83333333333,177258.16666666666
"The Hartford Financial Services Group, Inc.",Financial services,16205.0,25502.5,24002.5,41707.5,20553.75,65710.0
"Hasbro, Inc.",Leisure & home manufacturing,5447.0,7629.0,163013.33333333334,13076.0,37614.86666666667,176089.33333333334
Hertz Global Holdings,"Trading, wholesale, distribution, rental & leasing",3584164.0,119149.0,6484.333333333333,3703313.0,1829123.5666666667,3709797.3333333335
Hess Corporation,Oil & gas extraction & production,3577301.0,342678.0,14467730.0,3919979.0,4784999.9,18387709.0
"Hilton Worldwide, Inc.","Bars, hotels & restaurants",533382.0,1873715.0,782556.4285714285,2407097.0,985316.7857142857,3189653.4285714286
"The Home Depot, Inc.",Discretionary retail,516246.0,1649190.0,63575018.0,2165436.0,13467883.600000001,65740454.0
Honeywell International Inc.,Electrical & electronic equipment,1479149.0,1048843.0,3143974.3333333335,2527992.0,1683022.2666666666,5671966.333333334
"Host Hotels & Resorts, Inc.",Financial services,110298.0,279606.0,28061.666666666668,389904.0,144643.13333333333,417965.6666666667
HudBay Minerals Inc.,Metallic mineral mining,170190.0,403100.0,,573290.0,,573290.0
Humana Inc.,Financial services,16408.0,86278.0,21119.0,102686.0,38311.2,123805.0
Huntington Bancshares Incorporated,Financial services,13828.0,73172.0,1744.0,87000.0,29214.399999999998,88744.0
Husky Energy Inc.,Oil & gas processing,10827333.333333334,2066666.6666666667,23220000.0,12894000.0,10677666.666666668,36114000.0
ICF International,IT & software development,868.04,7771.57,9184.44,8639.61,4602.379,17824.050000000003
IGM Financial Inc.,Financial services,724.0,2.0,4262.62,726.0,1215.124,4988.62
Illinois Tool Works Inc.,Metal products manufacturing,134118.0,540715.0,157446.0,674833.0,260762.7,832279.0
Industrial Alliance Insurance and Financial Services Inc.,Financial services,4314.0,21.0,651.3333333333334,4335.0,2293.566666666667,4986.333333333333
International Business Machines (IBM),IT & software development,124633.0,1133030.0,269340.4,1257663.0,456093.58,1527003.4
Intel Corporation,Electrical & electronic equipment,1458000.0,2919000.0,916636.3636363636,4377000.0,1788027.2727272727,5293636.363636363
Inter Pipeline Ltd.,Oil & gas storage & transportation,563538.0,556252.0,,1119790.0,,1119790.0
Intact Financial Corporation,Financial services,7521.0,4962.0,2357.0,12483.0,5720.5,14840.0
Invesco Ltd,Financial services,697.0,11790.0,6075.333333333333,12487.0,5100.566666666667,18562.333333333332
International Flavors & Fragrances Inc.,Chemicals,120566.5,120499.5,111130.9,241066.0,118659.28,352196.9
International Paper Company,Paper products & packaging,8807591.0,3698688.0,2110347.5,12506279.0,5935471.4,14616626.5
Intuit Inc.,IT & software development,2045.0,18883.0,5691.8,20928.0,7825.76,26619.8
J M HUBER,Chemicals,673313.0,482659.0,,1155972.0,,1155972.0
Jabil Inc.,Electrical & electronic equipment,46351.0,685071.0,60968.0,731422.0,240890.4,792390.0
Jetblue Airways Corporation,Air transport,8370944.0,26656.0,847787.0,8397600.0,4363026.2,9245387.0
Johnson & Johnson,Biotech & pharma,445054.0,680326.0,1781745.4545454546,1125380.0,782973.8909090909,2907125.4545454546
JLL,Other services,36416.0,28135.0,1727947.5,64551.0,372238.0,1792498.5
JPMorgan Chase & Co.,Financial services,83101.0,739458.0,103032.435,822559.0,283994.38700000005,925591.435
"Juniper Networks, Inc.",Electrical & electronic equipment,3859.0,56003.0,315641.0,59862.0,81858.6,375503.0
Kansas City Southern,Rail transport,1409403.0,29537.0,137626.0,1438940.0,741087.7999999999,1576566.0
Kellogg Company,Food & beverage processing,483061.0,650835.0,1756733.125,1133896.0,788127.625,2890629.125
Kelly Services,Specialized professional services,793.0,5551.5,,6344.5,,6344.5
KeyCorp,Financial services,14525.38,45903.89,825664.3833333333,60429.27,186166.73366666667,886093.6533333333
Keyera Corp.,Oil & gas processing,1581779.0,457708.0,,2039487.0,,2039487.0
KIK Custom Products,Chemicals,77916.0,82778.0,,160694.0,,160694.0
Kimco Realty,Financial services,2142.24,36895.52,18574.084,39037.759999999995,15854.592799999999,57611.844
Kinross Gold Corporation,Metallic mineral mining,942936.25,,137919.0,942936.25,,1080855.25
KLA,Electrical & electronic equipment,1856.5,44163.0,,46019.5,,46019.5
Knappen Milling,Food & beverage processing,,,,0.0,,0.0
Kohl's Corporation,Discretionary retail,47034.0,506899.0,71414.28571428571,553933.0,189869.5571428571,625347.2857142857
Kroger,Convenience retail,2313574.0,3603853.0,459811.2,5917427.0,2329905.14,6377238.2
Labbeemint,Food & beverage processing,87.1,443.2,,530.3,,530.3
Laboratory Corporation of America Holdings,Health care provision,73677.0,175014.0,28143.5,248691.0,94971.4,276834.5
Las Vegas Sands Corporation,Entertainment facilities,257800.0,743970.0,75311.625,1001770.0,367153.325,1077081.625
Laurentian Bank of Canada,Financial services,,,,0.0,,0.0
"Legg Mason, Inc.",Financial services,154.63,3296.96,1089.8666666666666,3451.59,1284.3763333333334,4541.456666666667
Levi Strauss & Co.,Apparel design,10140.0,45856.0,471384.9090909091,55996.0,113103.78181818183,527380.9090909092
"Lexmark International, Inc.",Electrical & electronic equipment,21134.0,82006.0,95440.625,103140.0,54256.925,198580.625
Lincoln National Corporation,Financial services,2916.7749999999996,10752.69,7770.794,13669.465,6238.3533,21440.259
"L Brands, Inc.",Discretionary retail,26837.0,237330.0,416675.5,264167.0,167952.6,680842.5
Loblaw Companies Limited,Convenience retail,482017.22,286979.51,43854.104,768996.73,335873.2838,812850.834
Lockheed Martin Corporation,Electrical & electronic equipment,291522.0,673108.0,3818875.0,964630.0,1111468.4,4783505.0
"Lowe's Companies, Inc.",Discretionary retail,473689.0,1932514.0,171321486.5,2406203.0,35080896.00000001,173727689.5
LyondellBasell Industries N.V.,Chemicals,14100500.0,9061500.0,6888660.0,23162000.0,11146432.0,30050660.0
"Macy's, Inc.",Discretionary retail,45504.0,552248.0,14400.0,597752.0,191306.4,612152.0
Magna International Inc.,Metal products manufacturing,520192.0,1600106.0,,2120298.0,,2120298.0
"Marriott International, Inc.","Bars, hotels & restaurants",1351583.0,5484718.0,1787067.2,6836301.0,2678620.34,8623368.2
Manulife Financial Corp.,Financial services,668040.0,321806.0,14446.0,989846.0,433451.0,1004292.0
Maple Leaf Foods Inc.,Food & beverage processing,120936.0,30549.0,29700.666666666668,151485.0,75572.83333333333,181185.66666666666
Mars,Food & beverage processing,692518.0,1066902.0,3894559.5,1759420.0,1445241.5,5653979.5
"Marsh & McLennan Companies, Inc.",Financial services,28406.96,79500.97,15662.126666666665,107907.93,41186.19633333333,123570.05666666666
"Marvell Technology Group, Ltd.",Electrical & electronic equipment,1821.37,25083.7,1217625.4216666666,26905.07,251960.87933333335,1244530.4916666667
Masco Corporation,Metal products manufacturing,88858.0,47573.0,4824.0,136431.0,59665.700000000004,141255.0
Mastercard Incorporated,Specialized professional services,5300.506666666667,70834.99333333333,99192.402,76135.5,43739.231733333334,175327.902
"Mattel, Inc.",Leisure & home manufacturing,12843.39,183178.65,,196022.03999999998,,196022.03999999998
"McCormick & Company, Incorporated",Food & beverage processing,31830.0,85400.0,246303.6,117230.0,90795.72,363533.6
MDU Resources Group Inc,Construction,,,,0.0,,0.0
McDonald's Corporation,"Bars, hotels & restaurants",114307.0,565195.0,4102807.0,679502.0,1047273.4,4782309.0
S&P Global,Specialized professional services,2990.32,29730.79,33770.0,32721.11,17168.396999999997,66491.11
"Merck & Co., Inc.",Biotech & pharma,783500.0,424600.0,623170.0,1208100.0,643764.0,1831270.0
