organization,primary_sector,scope1_2,revenue,co2_intensity
Intuit Inc.,IT & software development,20928.0,20120999936,1.040107353837626
"Ameriprise Financial, Inc.",Financial services,19058.31,19316000768,0.9866592069913922
ServiceNow Inc,IT & software development,13550.0,13959999488,0.9706304080918889
"Genworth Financial, Inc.",Financial services,5948.55,7292000256,0.8157638221563991
"Hannon Armstrong Sustainable Infrastructure Capital, Inc",Financial services,70.5,87911000,0.8019474240993733
Humana Inc.,Financial services,102686.0,137200001024,0.7484402276501254
Lincoln National Corporation,Financial services,13669.465,18883999744,0.7238649219079337
Arista Networks,Electrical & electronic equipment,6674.02,9709899776,0.687341801044765
Prologis,Financial services,6299.333333333334,9376112640,0.6718491527564812
Affiliated Managers Group,Financial services,1161.415,2122700032,0.547140426104257
"American International Group, Inc. (AIG)",Financial services,9122.0,26701000704,0.3416351357435626
NVIDIA Corporation,Electrical & electronic equipment,67611.0,215938007040,0.3131037510570145
PayPal Holdings Inc,Specialized professional services,10076.0,33734000640,0.29868974354771344
Cigna,Financial services,69953.0,277892005888,0.2517272844048398
EMCOR Group Inc.,Specialized professional services,3597.0,17747283968,0.2026789004157326
Apple Inc.,Electrical & electronic equipment,54590.0,451442016256,0.12092361374055967
The Kraft Heinz Company,Food & beverage processing,0.0,24989999104,0.0
Ralph Lauren Corporation,Discretionary retail,0.0,7833099776,0.0
MDU Resources Group Inc,Construction,0.0,1806265984,0.0
Valmont Inc,Metal products manufacturing,0.0,4163984896,0.0
Fidelity National Information Services,Specialized professional services,0.0,11440000000,0.0
"Cadence Design Systems, Inc.",IT & software development,0.0,5528612864,0.0
Atmos Energy Corp,Energy utility networks,0.0,4881241088,0.0
Extra Space Storage Inc,Financial services,0.0,3478423040,0.0
Dentsply Sirona Inc.,Medical equipment & supplies,0.0,3680999936,0.0
"comScore, Inc.",IT & software development,0.0,357468992,0.0
HARTE-HANKS,Web & marketing services,0.0,159570000,0.0
"RPM International, Inc.",Chemicals,0.0,7713562112,0.0
Steel Dynamics Inc.,"Metal smelting, refining & forming",0.0,19012243456,0.0
Teleflex Incorporated,Medical equipment & supplies,0.0,2126717056,0.0
SEI Investments Company,Financial services,0.0,2368219904,0.0
